row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,GF_MC_RCG_Ctrl_2_neg_20210511_Run147.mzML Peak area,GF_MC_RCG_Ctrl_1_neg_20210511_Run68.mzML Peak area,GF_PF_MC_RCG_2_neg_20210511_Run97.mzML Peak area,GF_PF_MC_RCG_3_neg_20210511_Run198.mzML Peak area,GF_MC_RCG_Ctrl_3_neg_20210511_Run159.mzML Peak area,GF_PF_MC_RCG_1_neg_20210511_Run79.mzML Peak area,
3219,116.92847239603883,7.685015,,,,1,,,,,,,5.428272E7,4.563348E7,5.769938E7,5.75551E7,5.9195636E7,8.135915E7,
91,117.01930687937163,0.40365395,,,,110,,,,,,,560194.3,890650.8,3377541.5,3320497.8,2439748.2,3931329.8,
321,117.01934217019051,0.6623202,,,,73,,,,,,,6103333.0,5526306.5,1.6352988E7,1.9758952E7,6767570.0,1.709151E7,
436,117.05571431527024,0.81500554,,,,,,,,,,,92863.02,45991.395,4056363.8,2446195.5,1383743.0,1413630.5,
592,117.05574015374275,1.0491719,,,,,,,,,,,169791.36,92666.4,519591.3,7306560.0,210393.39,3931184.2,
782,117.05575189571717,1.2919623,,,,,,,,,,,67171.18,74070.125,28180.318,151378.17,326200.03,342471.22,
733,117.05576200884173,1.2497251,,,,,,,,,,,92296.27,74070.125,28180.318,151378.17,207511.25,280332.16,
921,117.05579749346437,2.027148,,,,153,,,,,,,381616.56,325555.72,243499.14,362669.0,216244.6,251776.97,
3409,117.91902614847494,8.143642,,,,,,,,,,,1858191.6,493053.12,706221.06,111247.81,5262363.5,342632.6,
3411,117.92857212873821,8.140446,,,,10,,,,,,,6225463.0,255993.14,2170888.5,5684875.5,6071532.0,6988899.5,
3220,117.92859363581344,7.6850286,,,,1,,,,,,,6220592.5,5241524.0,5401425.5,6540875.0,6675998.0,9309955.0,
345,118.02267468898289,0.6623733,,,,,,,,,,,97730.84,200031.05,279088.5,754791.56,203040.8,108394.92,
139,118.0410595100329,0.43463013,,,,198,,,,,,,451505.4,1107128.6,1917968.9,2396979.2,1346475.8,1762312.5,
858,118.0411338856535,1.7963264,,,,,,,,,,,0,0,10225.615,103260.69,3426.4502,26724.006,
584,118.04114003159312,1.0124336,,,,,,,,,,,17823.629,5197.9307,85640.38,35511.258,144391.06,20747.3,
833,118.04114663366343,1.5626478,,,,,,,,,,,0,0,16982.61,98797.0,14171.738,16289.992,
704,118.04116062956611,1.2053285,,,,,,,,,,,8500.696,3669.8384,40506.51,21505.629,106985.12,22845.959,
252,118.05095734356581,0.57515097,,,,,,,,,,,3531818.0,4352522.0,9410290.0,1.0523964E7,6893271.5,1174059.6,
440,118.05098035662274,0.745589,,,,,,,,,,,432046.5,418436.12,553970.94,2796388.5,5816661.0,7842893.5,
3407,118.92677158525657,8.14042,,,,10,,,,,,,1569713.8,295908.5,1106964.1,1387004.0,1469705.2,1747179.4,
3239,118.92677774869408,7.6890216,,,,1,,,,,,,1458561.2,1216487.1,1279279.1,1565579.8,1695729.1,1709378.4,
44,119.03492489391392,0.38497317,,,,110,,,,,,,913050.4,1204223.2,1027540.06,853011.8,1356301.5,1024920.1,
230,119.03493725745659,0.5437464,,,,108,,,,,,,2369582.2,1438970.6,1307687.1,2636573.5,1656950.2,1453303.2,
1571,119.05019169858197,2.7908726,,,,,,,,,,,280458.75,607600.94,6422117.0,2031234.2,404052.12,1739212.6,
1712,119.05020740467148,2.8938284,,,,69,,,,,,,1335263.1,1500121.5,3382633.5,1.392742E7,1292500.0,7595616.0,
1401,119.05023676402244,2.5560064,,,,82,,,,,,,0,0,5910024.5,6873516.0,1355383.2,4660592.0,
127,121.02948212488764,0.46905208,,,,,,,,,,,65523.918,167790.67,471223.8,1106735.4,56471.766,265382.6,
2018,121.02951654328574,3.2719154,,,,,,,,,,,942032.3,1699013.9,1311103.5,1423332.0,1155969.2,1988929.5,
1419,121.02951239448369,2.5807357,,,,6,,,,,,,8916514.0,1.1143872E7,9645611.0,9778511.0,1.2290588E7,9976623.0,
137,124.04037426800357,0.44414255,,,,110,,,,,,,903589.25,1729479.5,3013471.0,3996541.5,1584695.9,2454534.8,
444,125.03564352448738,0.7972508,,,,,,,,,,,2841814.2,2876355.2,3452081.5,4720291.5,4354916.0,2855752.8,
1360,126.00192339405805,2.514911,,,,,,,,,,,414934.38,698469.8,867808.3,1100272.9,284673.8,1372649.9,
1222,126.00193208573187,2.4587166,,,,,,,,,,,266375.25,93324.53,1109695.0,1518233.0,97283.73,150126.62,
251,126.952920924613,0.5950741,,,,,,,,,,,1294435.5,661070.3,413411.88,91185.15,1156160.2,219600.8,
683,128.03534343757818,1.1629374,,,,,,,,,,,1052277.4,1108387.5,1089493.2,478372.12,1565430.0,253819.28,
84,128.03534566399847,0.40212652,,,,110,,,,,,,2.023532E7,2.5714998E7,2.2295878E7,2.4155714E7,2.8602924E7,2.2902308E7,
294,128.03537414037524,0.6304933,,,,12,,,,,,,4.486356E7,4.1552356E7,4.4712E7,4.78476E7,5.358648E7,4.583993E7,
38,129.0386920089502,0.38974813,,,,,,,,,,,978289.44,1178947.9,1222813.6,1007383.0,1556901.6,387842.47,
292,129.03872250844876,0.629744,,,,12,,,,,,,2459044.5,2249320.5,2375655.8,2512354.0,2682255.2,2474204.5,
391,130.0510545827113,0.7373092,,,,24,,,,,,,1064172.1,765830.56,222647.53,201128.22,925409.5,283427.25,
354,130.08729077147325,0.6873818,,,,56,,,,,,,9.893764E7,1.1641301E8,3.982308E8,3.2456333E8,1.9959326E8,4.486208E8,
1752,130.08732185064238,2.9622545,,,,,,,,,,,623942.5,647075.56,1148213.4,1291159.4,141086.98,363799.25,
527,130.087323460457,0.90431046,,,,,,,,,,,640167.5,945128.25,4252546.5,7489445.5,1724157.1,4.0170988E7,
709,130.08732504665832,1.1865616,,,,,,,,,,,411248.25,187169.4,1.5984218E7,1202944.1,1349269.2,1.5517144E7,
1433,130.0873357766986,2.577793,,,,,,,,,,,2967621.8,4440637.5,2016937.2,5328529.5,4545049.5,5194005.5,
1053,130.08735024873627,2.1887457,,,,,,,,,,,393898.22,1780008.1,2757307.5,2632923.8,121563.95,2026968.8,
973,130.0873592553897,2.0990899,,,,,,,,,,,533703.8,207457.28,8265827.0,695326.8,214722.81,3205170.8,
1144,130.08736130216246,2.3210175,,,,,,,,,,,128192.664,355321.1,913282.56,574454.8,825457.1,8993697.0,
2822,131.0712616706309,5.8839126,,,,,,,,,,,19735.145,7099.592,62051.934,34779.22,27779.94,97790.34,
1617,131.07133353127665,2.7714074,,,,,,,,,,,1208065.5,1444970.5,2589322.2,2911033.2,189629.5,2628451.8,
359,131.0905781890152,0.68427175,,,,56,,,,,,,6485053.0,7556001.5,7272626.0,2.11006E7,1.3113858E7,2.9643136E7,
7,132.0302299288832,0.33206102,,,,,,,,,,,139170.39,328260.16,1054773.9,1323652.2,490895.7,1130230.1,
204,132.0566064180713,0.5204663,,,,,,,,,,,65810.4,125653.11,548766.25,586176.0,943024.75,535672.06,
3255,132.92340527737414,7.702713,,,,7,,,,,,,1307456.4,1127259.9,1133115.6,1395052.1,1400259.5,1575157.0,
3089,132.9234110489402,7.4503303,,,,,,,,,,,409803.38,374802.97,383032.16,473185.25,493888.56,428272.8,
3404,132.92341421251498,8.14452,,,,10,,,,,,,2507335.0,2115976.2,2129839.5,2305352.5,785522.4,2618767.0,
3445,132.92341805217907,8.265302,,,,,,,,,,,495502.94,1056150.4,889553.25,986808.8,1037220.5,584901.9,
3484,132.92342217596845,8.426761,,,,,,,,,,,2224106.2,1084282.9,153453.61,738388.6,1225672.1,659344.1,
202,133.0141802763712,0.51276946,,,,195,,,,,,,1145074.5,2066235.2,1.9674896E7,1.6301172E7,1906555.6,1.8745056E7,
566,133.0142404204317,1.0220537,,,,,,,,,,,0,46422.43,2653309.0,2097367.5,12831.09,2490136.2,
316,133.05053042806733,0.65598685,,,,142,,,,,,,2116299.5,1598365.9,3912199.5,4644294.0,2013598.6,3525766.8,
69,133.0506151738742,0.39259672,,,,110,,,,,,,2185663.2,2485197.2,5771408.5,6260856.0,2583969.5,6163852.0,
459,134.0471811676981,0.8035435,,,,155,,,,,,,8634806.0,7632290.5,46094.91,154011.89,6990466.0,43057.82,
159,134.04720143733343,0.47611973,,,,209,,,,,,,1.7938466E7,2.4108158E7,365747.6,724434.1,3.2804298E7,332262.25,
3706,134.89461848470415,10.178123,,,,211,,,,,,,2277373.8,6681470.0,4218954.0,1518965.1,3077606.0,3937547.2,
3122,134.8946192750802,7.6221642,,,,169,,,,,,,6657594.0,2739101.0,2644703.0,7737945.0,8633210.0,9358194.0,
3437,134.89462145622267,8.214996,,,,,,,,,,,2668034.0,1877251.9,2142021.2,1706334.4,1719041.2,8295150.5,
3094,134.89462379023814,7.447043,,,,,,,,,,,2867674.8,6805906.0,7632343.0,3115207.0,3819326.2,5040425.0,
3286,134.8946254127231,7.8146687,,,,,,,,,,,5465326.5,7274173.0,5757810.0,5683534.0,6565584.5,1.4216603E7,
3274,134.8946281750859,7.7529435,,,,116,,,,,,,1.1290804E7,8013436.5,6788340.0,9109619.0,1.0858834E7,3948784.2,
225,135.01977167736274,0.5590768,,,,,,,,,,,549836.2,71370.47,47838.594,61016.633,334422.28,13375.227,
368,135.0200070818929,0.72191554,,,,,,,,,,,546109.9,79255.984,30791.732,158645.02,598044.2,24234.625,
484,135.02003063345975,0.87341833,,,,,,,,,,,1044819.06,141510.86,46574.867,279650.34,2105321.8,42095.977,
48,135.0298307362934,0.36678925,,,,,,,,,,,585643.6,800426.0,1377640.6,2992329.0,1120289.0,1925552.1,
249,135.0309555539863,0.57121736,,,,,,,,,,,568283.1,521671.12,4419724.5,8361911.0,656796.8,6329083.0,
153,135.04422642807648,0.4703776,,,,209,,,,,,,281820.75,376153.0,0,0,511784.34,0,
1705,135.045167711458,2.8880434,,,,69,,,,,,,1664851.8,2227933.8,2266801.0,2989737.0,1911371.8,2948430.5,
181,135.050515280822,0.47337064,,,,,,,,,,,230080.42,1186114.9,0,0,1764820.9,0,
3673,135.97088621443672,10.169684,,,,,,,,,,,549223.0,486470.53,518653.2,601953.2,567705.06,331981.7,
469,137.024376938306,0.8289043,,,,,,,,,,,0,60127.535,1735426.9,176951.11,172267.98,102609.23,
741,137.02441350028076,1.2116711,,,,,,,,,,,0,54550.223,20029.674,4878665.0,239770.48,2568726.0,
1071,137.02443422826386,2.2164762,,,,,,,,,,,445240.53,332858.1,398269.06,613049.3,182155.64,424810.9,
715,142.05097286071347,1.2078549,,,,,,,,,,,1699021.4,1043688.94,1156997.1,1484638.2,918292.06,1413042.5,
1789,142.08731032700337,2.975437,,,,,,,,,,,177006.12,246500.7,1867616.4,1607806.8,150252.94,1616742.1,
2053,142.08731382251736,3.280278,,,,146,,,,,,,146982.69,353163.53,1038655.6,853175.4,397587.06,916175.25,
379,144.03021079024379,0.7178076,,,,,,,,,,,921742.3,798949.75,718052.06,695505.5,887591.0,782016.2,
2064,144.04548042663603,3.2930558,,,,146,,,,,,,2208535.5,2757162.5,2153719.0,2106124.8,3164644.5,2466058.2,
1145,144.04551559852874,2.3217218,,,,,,,,,,,567432.3,697376.25,1628239.6,1595463.5,1328897.1,1413029.8,
209,144.06653819613192,0.5551862,,,,,,,,,,,63437.758,3500477.2,1333654.9,584294.56,777643.0,1940189.9,
437,144.06657313030132,0.82109094,,,,,,,,,,,1286108.4,107798.516,1.0858166E7,656952.44,491638.38,1648780.9,
110,144.0665777610727,0.47669998,,,,,,,,,,,24985.852,1485971.1,1285670.6,680635.2,1800887.5,1148608.2,
649,144.06661440163563,1.1524987,,,,,,,,,,,9972373.0,648293.75,1843102.0,1.5249977E7,1517003.5,1.4644833E7,
542,144.06662165814308,1.0111413,,,,,,,,,,,3404954.0,486458.3,1111486.5,749499.06,9259038.0,953176.44,
765,144.06662856962478,1.2339433,,,,,,,,,,,329786.94,6975372.5,1536393.0,679701.75,1436595.9,1023932.5,
1013,144.06663890039445,2.147618,,,,,,,,,,,3327727.0,1894622.6,1326156.1,894302.0,1372809.4,1309034.0,
3257,144.92337751039608,7.7124095,,,,7,,,,,,,5785280.5,5759917.0,5452634.0,8257856.5,8345768.0,5966402.0,
3423,144.9233797962083,8.152666,,,,10,,,,,,,1.327435E7,1.2255244E7,9247067.0,1.0700014E7,2.9886804E7,1.3071439E7,
3456,144.9233898718189,8.249408,,,,,,,,,,,6311656.5,6192111.5,1978971.4,3865528.5,6330094.5,3055582.5,
3479,144.92339822890514,8.423497,,,,,,,,,,,4941224.5,1.710759E7,3779027.2,3811338.0,3208099.0,1326157.4,
118,145.09822297626417,0.41348097,,,,110,,,,,,,5163947.5,1.0639509E7,1.5347312E7,1.6907748E7,1.3767376E7,1.7459966E7,
627,145.09829286069353,1.0676872,,,,,,,,,,,17500.605,64377.15,662083.0,3474510.0,399636.66,627228.94,
238,146.04581683095935,0.5513939,,,,108,,,,,,,1136684.0,1133283.8,2526401.5,2748738.2,1656158.2,2501458.8,
147,146.04583116149743,0.49762478,,,,,,,,,,,3035666.2,2462036.0,2734284.5,1172503.2,496656.1,689646.75,
20,146.04587090152205,0.35551536,,,,,,,,,,,1310500.4,1579016.0,3326064.0,3482424.0,3250246.8,3270984.0,
240,147.0298467246998,0.5523154,,,,108,,,,,,,210932.7,287155.75,737045.56,979304.4,236963.42,890387.7,
352,147.02985990300047,0.6845333,,,,,,,,,,,216220.1,952294.75,628037.0,653936.6,182922.66,849543.9,
681,147.04518245896966,1.1701156,,,,159,,,,,,,2854798.5,9360014.0,1.9516592E7,1.4551073E7,1.0129311E7,1.4858391E7,
827,147.04519323458643,1.487606,,,,,,,,,,,99620.91,285083.3,1961720.8,1306673.1,376874.9,185849.62,
761,147.0451978046752,1.2072167,,,,,,,,,,,3548882.8,1088685.8,3025553.2,736221.5,1564412.8,2320154.8,
964,147.0452285949274,2.0874007,,,,118,,,,,,,26635.324,18252.389,1136937.2,677416.4,102133.27,230394.17,
242,147.0662228263109,0.55355984,,,,,,,,,,,2079514.2,151855.16,1.0929774E7,2343288.0,298269.2,4756962.0,
407,147.06623341027657,0.7538254,,,,,,,,,,,337613.12,730211.6,2067107.5,2.1284074E7,75380.64,1.4954208E7,
88,147.0662616038893,0.44310856,,,,,,,,,,,845929.5,1602783.2,2164629.8,1972055.4,1440705.5,2034016.4,
614,147.06628044938103,1.0797248,,,,,,,,,,,3799131.2,2093143.8,5130941.5,6139482.5,1538693.8,1.3029903E7,
531,147.06628517563612,1.036862,,,,,,,,,,,1102938.2,597689.25,1.7514662E7,1.0338712E7,441190.44,2033734.8,
766,147.0663312172426,1.2702082,,,,,,,,,,,86342.17,72805.91,2196052.2,3084052.0,33014.09,3301627.2,
1067,147.9896861389948,2.2186365,,,,29,,,,,,,6298081.5,1.1418851E7,1.6773072E7,1.0512877E7,1.7278198E7,1.2480031E7,
218,148.04376372105222,0.53841305,,,,80,,,,,,,282835.25,1624331.4,1356941.0,2913.7402,1797304.6,311966.8,
314,148.06287863000173,0.6525876,,,,,,,,,,,138581.89,244722.55,79689.41,68221.88,565790.8,64379.613,
2369,149.0607650988037,3.856655,,,,77,,,,,,,4688527.5,6918367.0,1.1075786E7,1.1158647E7,8034922.5,9733035.0,
185,150.0559719096232,0.514516,,,,,,,,,,,15968.096,19892.334,206700.69,929383.44,64745.848,72670.81,
287,151.02606423214385,0.6229975,,,,12,,,,,,,1511931.1,1791463.9,4871473.0,5259765.5,2631175.2,4602353.5,
1740,151.04005490412993,2.9386854,,,,,,,,,,,729848.8,985650.25,280724.66,339698.4,942926.56,855921.75,
2174,151.04009817022276,3.4434268,,,,119,,,,,,,166291.58,268052.28,333703.62,373689.97,366455.84,350593.62,
177,151.06114938764009,0.47896555,,,,,,,,,,,266511.9,672345.2,1756184.6,3416333.0,1930142.1,3166474.5,
451,151.06115494320173,0.7845957,,,,,,,,,,,45196.91,72003.6,1045969.9,1.3306909E7,260171.64,1282771.0,
266,153.0668947401621,0.60280603,,,,108,,,,,,,491462.47,2083079.5,1305958.5,870032.6,2253949.8,1097522.4,
518,153.06693511433642,0.8855583,,,,,,,,,,,39029.75,94087.7,138741.86,356078.0,1550405.5,99298.836,
3715,153.86856254437427,10.341377,,,,,,,,,,,459138.53,307355.9,451114.16,528725.25,715053.7,326639.2,
83,156.02785460274367,0.37958503,,,,110,,,,,,,98720.805,246360.25,1227582.4,1223089.5,80174.61,838891.2,
2220,156.10299541169584,3.533253,,,,105,,,,,,,573110.1,512857.84,4057852.8,3631210.5,484895.28,3490320.2,
31,157.01180018512824,0.37583575,,,,110,,,,,,,404702.38,543725.3,889831.8,939614.94,695737.2,823705.6,
1603,158.08223584165526,2.7643073,,,,,,,,,,,1.1221298E7,1.8461614E7,4.6126236E7,9954957.0,1.703797E7,3.985288E7,
1882,158.0822362702196,3.051417,,,,,,,,,,,74482.31,144095.03,139284.94,87294.3,176739.69,691603.0,
1464,158.08225173748858,2.6658459,,,,,,,,,,,1793470.5,6859236.5,7273424.0,1745520.5,8421418.0,6162611.0,
1155,158.08228986956522,2.3269563,,,,,,,,,,,2063570.6,2403681.0,3672333.5,2595251.2,2255365.2,2693347.2,
1281,159.0663112946382,2.4794066,,,,,,,,,,,19812.129,79634.56,37067.32,999869.9,799774.06,706994.5,
487,160.0073832326252,0.88369435,,,,,,,,,,,893657.8,789590.44,521941.6,698570.3,456502.88,644112.25,
1986,160.0404410057475,3.1811664,,,,,,,,,,,236203.5,168262.16,132647.92,719853.7,126501.92,500996.56,
320,160.0614542886564,0.65841156,,,,73,,,,,,,537932.56,425306.34,995315.1,359756.16,599896.5,1099010.6,
3,160.8420466110008,0.1779031,,,,,,,,,,,15696.331,344952.38,245027.38,243462.12,62784.2,399243.5,
3731,160.84213302181507,10.407977,,,,78,,,,,,,3668874.0,1662492.4,551696.1,2690312.5,2193537.2,2343254.8,
3273,160.93543818479262,7.7254186,,,,,,,,,,,90457.94,276764.47,212186.27,68628.97,233780.42,1047131.9,
3090,160.93544188334988,7.4478374,,,,,,,,,,,160141.89,131046.05,167510.34,99505.92,153555.6,1182706.4,
3020,160.93549897705893,7.1333222,,,,,,,,,,,159193.38,169191.73,335387.22,142381.6,123732.11,1235483.5,
421,161.045517887449,0.7725298,,,,128,,,,,,,874618.06,811513.75,1385132.6,2127079.2,982018.44,1608452.4,
1804,162.05608078879965,2.9887733,,,,89,,,,,,,572955.56,920888.6,741116.7,1116570.4,816816.1,1056582.2,
4,162.8391062528499,0.1779031,,,,,,,,,,,7688.0527,328864.38,233126.94,222778.52,16797.46,381345.2,
3723,162.83911374381105,10.407977,,,,78,,,,,,,3418224.0,1511034.6,458147.0,2527605.2,2078365.0,2176881.8,
377,163.01490510214003,0.73413116,,,,,,,,,,,852836.56,1826071.1,80612.44,367767.62,1179495.1,40257.047,
210,163.01490779345957,0.556824,,,,,,,,,,,1103992.9,383420.97,50757.625,148924.86,721517.44,51176.617,
435,163.01493007437946,0.8435564,,,,,,,,,,,1280831.6,899108.8,53938.64,3063745.8,3563744.8,47463.027,
552,163.01502505578242,0.9797099,,,,,,,,,,,1960153.0,1235017.4,100925.234,399741.8,208062.6,29918.965,
1479,163.01504111025204,2.607765,,,,,,,,,,,645027.1,1101854.6,14036.027,453609.75,775228.75,66588.8,
233,163.02475957818805,0.54541147,,,,108,,,,,,,0,0,1481855.9,1631048.5,0,1609516.0,
1572,163.04006530475644,2.7859194,,,,,,,,,,,1036463.6,2834866.5,2.9365486E7,3.1769438E7,2919015.8,1.3500286E7,
