row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,2024_NEG_CC_2_Run48.mzML Peak area,2024_NEG_CC-VPA_1_Run27.mzML Peak area,2024_NEG_CC-VPA_2_Run36.mzML Peak area,2024_NEG_CC_3_Run62.mzML Peak area,2024_NEG_CC_1_Run21.mzML Peak area,2024_NEG_CC-VPA_3_Run77.mzML Peak area,Unnamed: 19
34,119.01713502318658,0.5852278000000001,,,,,,,,,,,1181549.6,1158610.2,1163568.9,1165489.1,1138258.4,1131267.1,
35,121.03276275225842,0.6494361999999999,,,,34.0,,,,,,,1982424.4,1901842.0,1919712.8,1873149.6,1837446.2,1881888.8,
249,122.9757742487902,7.294353500000001,,,,,,,,,,,61945.95,84115.82,116997.75,71934.92,72485.89,84562.08,
292,122.97577639739193,7.681012599999999,,,,,,,,,,,86957.734,103127.27,135368.66,93194.33,129808.84,96292.75,
473,122.9757776711446,8.999753,,,,,,,,,,,360871.94,463760.34,303296.2,360409.03,470112.53,353130.53,
336,122.97577870001143,7.944635400000001,,,,,,,,,,,188347.1,191375.86,266759.56,236951.31,259761.42,282691.06,
316,122.97577983859017,7.838697,,,,,,,,,,,130429.98,127569.375,189688.38,159934.86,190800.8,203329.02,
388,122.97578527304,8.286261,,,,,,,,,,,171340.14,191080.22,259621.05,199805.2,277312.34,295354.88,
6,129.97579921343544,0.3253164,,,,,,,,,,,418140.88,333400.62,446559.1,360257.44,446571.34,297434.22,
171,132.8678613198144,6.681267,,,,,,,,,,,175353.36,432237.97,1420139.9,413315.47,348352.56,115633.6,
514,132.86786575460889,10.208907,,,,44.0,,,,,,,151837.06,168208.44,157000.28,147972.39,170056.88,146611.12,
539,132.86787180184334,10.467886,,,,,,,,,,,616797.6,788135.0,730307.5,668216.25,690288.9,771140.5,
256,134.89466418368326,7.307921,,,,,,,,,,,489083.0,552781.94,318949.56,694814.2,993838.3,1080423.6,
300,134.89467732061007,7.6923943,,,,18.0,,,,,,,2294143.8,2232594.5,2031596.9,2298602.8,2403186.8,2330999.8,
281,134.89467804427514,7.5602384,,,,13.0,,,,,,,2061461.2,2032400.0,1969600.0,1914831.9,2355043.2,2154318.8,
406,134.894680443623,8.380714,,,,21.0,,,,,,,1840936.1,1456787.8,1151016.0,2364712.2,1913497.9,1593514.1,
395,134.89468194480784,8.304294,,,,22.0,,,,,,,3577977.2,4382863.5,3989855.2,5017768.0,5096363.0,4119203.8,
323,134.89468222721618,7.859558,,,,24.0,,,,,,,1313725.6,1523772.4,1344362.2,1422707.4,1313767.5,1324460.2,
350,134.89468304688282,7.965425,,,,25.0,,,,,,,2377956.5,2452708.5,2256255.5,2567694.0,2651161.5,2473069.5,
360,134.8946846323566,8.05968,,,,35.0,,,,,,,1925549.8,1408464.9,1404354.0,1645648.4,1968338.2,2405040.8,
19,139.03242040889006,0.37326705,,,,32.0,,,,,,,2217412.5,2311617.0,2315832.5,2176526.2,2269139.2,2060553.8,
515,144.92346669484076,10.207046,,,,1.0,,,,,,,1938347.0,2095130.0,1834857.5,1990688.0,1824707.4,1563340.9,
318,144.92347309206414,7.844072,,,,24.0,1.0,[2M+H]+,,2.0,318;313,71.95775,2571170.5,2032440.2,1939088.8,2811093.0,3223718.5,3144959.8,
345,144.92347318750768,7.946712,,,,25.0,2.0,[2M+H]+,,2.0,345;340,71.95775,2621249.8,2498886.2,2367924.2,3623765.0,3009317.8,2706275.2,
389,144.92347357476487,8.285067999999999,,,,22.0,,,,,,,7705497.0,8058794.0,6779107.0,7372342.0,8339973.0,8279741.0,
540,160.84198339718134,10.472660000000001,,,,5.0,,,,,,,257094.9,327128.22,299472.0,296139.72,307263.28,301923.9,
302,161.91356939200213,7.702878999999999,,,,18.0,,,,,,,414419.94,387027.62,331353.38,730192.1,413790.38,399110.0,
280,161.9135696689673,7.5515419999999995,,,,13.0,,,,,,,455602.4,393974.44,162741.16,358223.8,571088.25,307033.97,
252,161.91357042137125,7.302128,,,,,,,,,,,355853.28,251701.9,200753.34,323736.1,224222.55,498654.12,
408,161.9135722820663,8.407645,,,,21.0,,,,,,,1064480.1,807106.56,461156.78,1150611.6,902665.4,853985.94,
309,161.91357414178663,7.824012799999999,,,,24.0,,,,,,,313101.78,291315.25,175249.67,322473.06,363944.34,318352.75,
397,161.91357590136644,8.309218,,,,22.0,,,,,,,905500.25,1185392.0,522083.1,1320749.2,1030833.75,837898.5,
354,161.9135776485759,7.970452000000001,,,,25.0,,,,,,,360505.9,365248.8,185492.14,429453.44,431427.06,353891.03,
541,162.83905553773693,10.472660000000001,,,,5.0,,,,,,,258142.45,327920.0,298396.2,304972.44,309871.12,299481.72,
474,180.98119169433718,9.003785,,,,,,,,,,,348261.06,426495.84,307004.88,366183.97,262951.22,335785.25,
335,180.98119268181736,7.941975,,,,,,,,,,,203267.44,253991.86,225356.84,295909.3,234355.89,323915.0,
384,180.98120559680152,8.283204,,,,,,,,,,,195598.72,226837.3,213253.95,313835.38,221794.52,363926.94,
18,185.076223532377,0.36783814,,,,32.0,,,,,,,765407.25,748404.5,779969.6,742511.3,714618.9,736020.0,
452,186.90575171208627,8.756475,,,,6.0,,,,,,,4949710.0,5346461.5,4028652.5,4821247.0,5738327.5,4398820.5,
470,186.97061474678688,8.984204,,,,,,,,,,,799944.06,847914.75,426759.97,779927.56,800297.25,360173.3,
293,186.97063187203813,7.68232,,,,18.0,,,,,,,228435.4,256957.2,286210.38,247537.62,264990.75,274830.1,
361,186.97063612249883,8.061972,,,,35.0,,,,,,,285906.47,154544.97,234760.95,207863.12,318090.03,272810.84,
312,186.970636673334,7.837826299999999,,,,24.0,,,,,,,355512.16,332475.9,433238.47,393394.06,395209.28,455381.2,
405,186.97063925504827,8.398079,,,,,,,,,,,792441.94,833101.7,1042176.44,486124.03,350417.66,283704.9,
344,186.97064337840882,7.9466796,,,,25.0,,,,,,,546710.2,523546.3,618517.44,577833.9,578678.75,693542.2,
387,186.9706452114209,8.283204,,,,22.0,,,,,,,1402241.4,1299358.4,1532544.4,1461867.8,1379549.6,1454766.0,
15,187.09187809135247,0.36225890000000005,,,,32.0,,,,,,,5221913.0,5366131.5,5331726.0,5100649.0,5284743.5,4885070.0,
116,187.86093829734875,5.324999,,,,,,,,,,,47199.15,23921.632999999998,40589.344,212259.11,111107.55,111574.84,
134,187.86094082009544,6.017106500000001,,,,,,,,,,,172636.62,0.0,0.0,0.0,0.0,0.0,
546,187.8609830478225,10.489636,,,,,,,,,,,723687.06,956220.06,954241.6,820527.7,808752.9,756657.3,
447,188.90394782764224,8.751392,,,,6.0,,,,,,,2164254.5,2356790.2,1771822.6,2165871.5,2547669.5,1930964.9,
547,189.8579717698027,10.490628,,,,,,,,,,,395141.28,539905.06,455490.84,429215.4,353458.25,388552.0,
261,195.8108790036341,7.358714,,,,,,,,,,,0.0,0.0,0.0,212913.92,0.0,0.0,
542,195.8109198391177,10.474468,,,,5.0,,,,,,,416430.03,434345.03,396993.84,462736.62,405695.72,456788.75,
130,195.90599048532815,6.0106945,,,,,,,,,,,198852.66,0.0,0.0,0.0,0.0,0.0,
554,195.90599702933116,10.5393095,,,,38.0,,,,,,,718314.7,696032.56,982393.44,592232.06,741965.9,579800.9,
332,196.97611116716868,7.942882000000001,,,,,,,,,,,284121.3,338237.03,422735.2,391864.66,397171.75,200643.03,
262,197.80790849253697,7.358714,,,,,,,,,,,0.0,0.0,0.0,278545.7,0.0,0.0,
543,197.80795516523457,10.474468,,,,5.0,,,,,,,526991.1,619581.0,507447.47,618042.7,551406.5,569800.6,
47,212.0353013905157,3.2939769999999995,,,,,,,,,,,3421620.8,3121117.0,10270768.0,8122291.5,2627980.0,5021817.0,
55,212.03530784183133,3.53991,,,,55.0,,,,,,,17830688.0,20061420.0,20273188.0,13307568.0,21804692.0,22536914.0,
54,213.03862084030436,3.53991,,,,55.0,,,,,,,2243994.8,1828023.6,2228060.5,1611549.4,2748449.2,2855534.8,
131,214.8799352886205,5.969688400000001,,,,,,,,,,,777054.6,144169.22,177653.25,216166.8,16127.288,15912.806999999999,
118,214.87993629609247,5.3848953,,,,,,,,,,,180823.5,117410.19,123377.5,246851.19,35296.652,1278336.2,
4,214.87995917514908,0.3043683,,,,,,,,,,,359348.9,698600.56,329083.62,349710.3,293592.0,334973.7,
548,214.87999811985648,10.517971000000001,,,,38.0,,,,,,,2240876.0,2776620.2,3015371.0,2418514.0,2492331.0,2379975.5,
549,216.87680708866333,10.523307,,,,38.0,,,,,,,564068.44,794233.75,948340.6,602045.94,750248.9,564684.5,
3,216.8769628340543,0.044000965,,,,,,,,,,,5246.7734,50832.55,4416.93,96364.695,12180.212,48945.76,
433,221.87461050613186,8.689175,,,,,,,,,,,427521.53,1433638.6,800477.2,561647.5,1593397.0,986924.44,
451,221.87461624586732,8.754123,,,,6.0,,,,,,,4302809.5,3348283.5,1690193.2,3934483.8,3821850.5,1726534.8,
17,223.0685569106463,0.36602163,,,,32.0,,,,,,,480322.56,497745.25,512371.97,484886.84,493484.0,507239.25,
434,223.87233195750017,8.675502,,,,,,,,,,,1212334.6,151319.12,568446.75,406788.25,109618.17,694009.4,
450,223.8723368590209,8.753933,,,,6.0,,,,,,,3088502.2,2381595.2,1220672.0,2839537.0,2715464.5,1221137.4,
20,226.1027659089333,0.37507537,,,,32.0,,,,,,,361107.12,396829.38,389138.66,380469.2,389183.2,365039.88,
90,227.96660281235782,4.742918,,,,9.0,,,,,,,5891523.0,6236850.0,6186376.0,5632661.0,6061078.0,5770930.5,
89,228.9698910033678,4.7416160000000005,,,,9.0,,,,,,,455355.97,513508.8,502921.6,457055.28,494201.06,456253.78,
91,229.96447688036216,4.742918,,,,9.0,,,,,,,5972596.0,6186753.5,6061439.5,5573851.0,6014812.0,5612047.0,
92,230.96777930533366,4.743921299999999,,,,9.0,,,,,,,474965.25,480808.7,466190.4,443309.94,476722.94,457952.03,
16,233.0973477265024,0.36225890000000005,,,,32.0,,,,,,,611313.3,687554.7,661188.25,650817.75,663811.25,663188.9,
132,241.89891057070582,5.96199,,,,,,,,,,,1409367.0,278032.16,362558.5,287083.3,262851.7,83737.1,
119,241.89891393136062,5.439436,,,,,,,,,,,315385.97,51295.727,342169.9,380275.7,245459.05,2269281.0,
5,241.89891931588215,0.30749962,,,,,,,,,,,1068194.6,1619014.2,909509.9,823290.06,700647.8,1134494.1,
552,241.89896237813838,10.531655,,,,38.0,,,,,,,4663717.5,4951679.0,6605891.0,4596702.0,5041547.0,4752438.5,
75,242.17616878182156,4.4273295,,,,,,,,,,,480038.28,459155.9,496115.84,483300.25,504428.47,516662.94,
550,243.89928936292446,10.520291,,,,38.0,,,,,,,6553610.0,7018468.0,7420236.0,6755751.5,6564409.5,6662824.5,
443,243.89932550225026,8.739277000000001,,,,6.0,,,,,,,14672924.0,12891956.0,8940197.0,13773033.0,15627318.0,10404656.0,
263,243.89960189463181,7.3155722999999995,,,,,,,,,,,42743.773,5480.995,0.0,358852.88,123518.81,117783.03,
259,245.89474438718528,7.317810000000001,,,,,,,,,,,0.0,0.0,0.0,147436.88,12518.979,12988.438999999998,
551,245.89479217869788,10.521562,,,,38.0,,,,,,,2501461.5,2668064.0,2821723.8,2476471.0,2501359.0,2400012.8,
445,245.89480552399345,8.740195,,,,6.0,,,,,,,5680209.0,4964615.0,3451226.5,5271789.0,6012013.0,3971706.8,
429,248.8935755891961,8.620913999999999,,,,59.0,,,,,,,2268136.0,1633868.5,1250666.4,2358224.0,1983966.5,1484249.2,
453,248.89357994940792,8.761931,,,,6.0,,,,,,,8269600.5,6514837.5,3534133.8,5037829.0,7615335.5,3785256.2,
505,248.9604191706015,10.143205,,,,,,,,,,,112043.47,61597.875,25763.771,47797.504,41204.66,16003.738000000001,
525,248.96043736621414,10.275764,,,,8.0,,,,,,,395372.56,315198.94,294303.44,352088.6,391951.1,321775.25,
14,248.96045671498814,0.33754542,,,,7.0,,,,,,,963279.6,1000557.8,966483.2,969359.3,1034036.3,939348.06,
50,249.0226949633184,3.4900274,,,,,,,,,,,5698965.0,5853130.0,5624856.5,5614002.0,6057187.0,7049094.5,
428,250.891679317337,8.637444,,,,59.0,,,,,,,1136388.5,892259.8,514004.3,1028378.3,900798.0,627564.1,
454,250.8916821256645,8.762083,,,,6.0,,,,,,,3645007.5,2823585.2,1540198.0,2225919.8,3392488.5,1649771.4,
562,255.82213001713765,10.641703999999999,,,,,,,,,,,60793.812000000005,111484.12,6536.1377,135194.53,36575.13,82179.0,
545,255.82217048873383,10.474468,,,,5.0,,,,,,,294965.47,286040.75,261944.14,309278.66,269882.94,288131.72,
544,257.8191721199744,10.474468,,,,5.0,,,,,,,290398.2,284684.88,250560.44,300644.62,259929.69,271743.8,
22,262.0794762364571,0.37598259999999994,,,,32.0,,,,,,,659109.8,686876.7,726184.4,671318.6,723979.0,689165.6,
72,263.03834735489414,4.267792,,,,,,,,,,,334334.7,352966.22,349345.4,330672.06,347975.78,336456.8,
44,265.0176234647335,2.8379357000000005,,,,,,,,,,,1788778.2,1845944.5,1742283.6,1767804.5,1947526.1,1887821.0,
46,265.0176271393016,3.17932,,,,,,,,,,,3243903.8,3483578.5,3151629.0,3214153.5,3461896.0,3411319.8,
135,265.14790586908504,6.0214963,,,,,,,,,,,215177.77,334459.4,543584.1,434567.06,580032.0,302905.03,
93,266.98884532534373,4.7566185,,,,54.0,,,,,,,1532154.0,1632008.6,1507357.8,1368003.4,1691425.6,1551030.4,
94,268.9857361880421,4.7566185,,,,54.0,,,,,,,515641.25,527212.1,515610.66,455835.0,568111.9,497682.6,
37,271.0616347287687,0.87288994,,,,,,,,,,,4884772.0,5093048.0,4852620.0,4656125.0,5095256.5,4708734.5,
32,271.06165758552726,0.3990893,,,,,,,,,,,924435.8,879192.44,938988.94,867526.25,925896.7,853426.4,
136,271.22787707384117,6.0592427,,,,,,,,,,,179300.84,255609.31,390365.5,254945.56,326082.88,295101.25,
211,271.2278791444585,7.018871300000001,,,,,,,,,,,64508.71,96829.78,121805.67,98072.875,107667.586,99695.484,
152,271.22788887569646,6.392958,,,,,,,,,,,202246.3,236893.58,364392.53,241514.03,311101.3,284490.4,
239,271.22789473599653,7.229462,,,,,,,,,,,19309.414,95181.6,50657.855,44293.64,110824.055,43215.395,
21,272.1082880546924,0.37507808,,,,32.0,,,,,,,841523.7,851376.56,841589.4,823041.8,845000.75,852320.4,
333,281.2486026723008,7.941975,,,,25.0,,,,,,,137909.22,148018.36,369818.0,223156.5,400204.72,446126.6,
74,282.9837355427425,4.3961864,,,,,,,,,,,375756.44,384899.56,370518.25,353557.5,397801.0,370539.25,
29,289.09847278899446,0.38607892,,,,32.0,,,,,,,1153654.1,1136906.9,1151368.8,1065534.8,1145056.0,1165842.9,
183,295.2279169683904,6.768041,,,,,,,,,,,420324.03,547278.8,992030.7,733403.8,635072.9,892135.5,
214,297.24353543355016,7.045812,,,,40.0,,,,,,,32786.95,40356.85,64592.367,42907.765999999996,56548.3,57638.332,
158,297.2435519575376,6.4747415,,,,,,,,,,,104478.22,150872.38,87299.34,140608.97,184996.92,164767.66,
166,297.2435680765912,6.609916,,,,28.0,,,,,,,385062.38,516413.97,1027742.2,588924.56,705437.75,801544.8,
177,297.2435758562877,6.7050424,,,,14.0,,,,,,,280110.88,350661.75,560038.75,388409.72,512959.03,436611.38,
189,297.2435843215055,6.8259015,,,,53.0,,,,,,,36413.973,41695.98,61437.7,48204.07,64958.69,53990.515999999996,
306,299.2591997959889,7.774352599999999,,,,,,,,,,,12159.191,34971.555,35941.83,20990.783,96527.62,28259.855,
210,299.2592226504819,7.006477,,,,,,,,,,,30350.38,77324.6,66434.01,42942.098,61171.758,58506.4,
286,299.25922752631305,7.5991789999999995,,,,4.0,,,,,,,297108.78,319841.62,480607.44,436065.16,517657.3,479522.66,
196,299.2592302461097,6.9010625,,,,,,,,,,,789359.4,1123364.4,1456650.9,1129585.2,1381080.1,1357719.0,
172,299.2592363093532,6.675859,,,,27.0,,,,,,,2094375.1,2498580.8,3601104.0,2726822.8,3388781.8,3268314.0,
173,300.2625882193834,6.676131,,,,27.0,,,,,,,394256.47,470596.0,704026.2,537180.06,635136.06,640731.8,
64,309.1014213668525,4.021393,,,,,,,,,,,404056.2,438184.47,417254.44,392178.34,441297.62,412285.94,
492,311.1686842212831,9.443532000000001,,,,63.0,,,,,,,76428.63,107772.625,90079.92,211513.47,211164.33,99105.67,
150,311.16870031727484,6.373615,,,,,,,,,,,92114.63,141090.9,149766.8,105721.15,176017.78,186517.73,
478,311.16870374212914,9.010146,,,,15.0,,,,,,,224110.19,274992.3,151399.84,196495.12,225288.6,165504.69,
508,311.1687057950242,10.202473,,,,44.0,,,,,,,173285.05,215828.98,170486.92,191683.5,215316.81,171285.38,
164,311.1687236985811,6.528453400000001,,,,,,,,,,,996377.56,968863.44,1245935.4,1040250.3,1737269.8,1075969.2,
169,311.16872632481005,6.63698,,,,,,,,,,,769201.5,650518.7,827654.44,845185.9,1119345.5,850111.6,
40,312.98466322527236,2.3623612,,,,,,,,,,,561715.5,569337.75,232536.89,438103.03,218778.83,607976.25,
41,312.9846673214576,2.4455385,,,,,,,,,,,670231.4,742118.06,620047.6,611823.4,623297.8,714165.1,
128,315.25408442629384,5.8867,,,,,,,,,,,21294.408,77543.33,39847.145,22499.285,32840.086,28988.912,
126,315.25411107159,5.798554,,,,,,,,,,,66822.36,101346.766,140491.7,104149.8,116824.41,124596.02,
117,315.2541336424752,5.4509654,,,,,,,,,,,26547.475,41537.145,83228.336,29931.889,44681.258,41055.652,
140,315.254140214306,6.139136,,,,,,,,,,,236347.86,342301.6,490712.75,343795.9,427414.44,388202.47,
133,315.25416128948973,6.017221,,,,,,,,,,,74739.94,110793.055,145999.08,107926.07,115011.51,120491.63,
526,316.9479439105998,10.275764,,,,8.0,,,,,,,344075.06,280354.16,258285.31,326094.44,350349.56,287491.28,
8,316.94796648488466,0.33484575,,,,7.0,,,,,,,982255.5,1031173.6,993706.4,1006210.8,1074152.4,932361.8,
504,316.9479946790237,10.163425,,,,,,,,,,,51434.29,52629.195,0.0,7159.04,5503.085,0.0,
491,325.18433749041543,9.444887,,,,,,,,,,,26891.41,124096.164,141775.75,62154.918,101063.88,118277.76,
477,325.1843541611288,9.00875,,,,15.0,,,,,,,159171.53,194949.7,88369.625,111838.32,143837.53,108620.24,
513,325.18435965083665,10.206128,,,,44.0,,,,,,,154833.58,190923.22,143447.86,174655.28,181915.69,161000.2,
207,325.1843775082612,7.022491499999999,,,,,,,,,,,559043.25,539706.94,1144877.2,249968.67,811071.2,838330.9,
230,325.18438652218015,7.2297896999999995,,,,41.0,,,,,,,375933.88,340391.6,477139.84,374518.75,771818.06,544755.75,
251,327.12703712116326,7.2979009999999995,,,,46.0,,,,,,,428707.94,302830.34,353556.5,579598.2,684717.25,692630.56,
557,328.9795696909885,10.592398,,,,65.0,,,,,,,442171.1,508182.94,475268.5,457513.5,548118.2,469780.38,
39,328.9795930879432,2.1334596,,,,42.0,,,,,,,1454756.1,1293459.4,1258192.8,1189924.5,1595063.4,1434725.5,
81,341.04862023867736,4.5567975,,,,49.0,,,,,,,701846.44,788914.94,701422.5,743425.94,816816.8,752306.0,
28,353.1488750051416,0.3823572,,,,32.0,,,,,,,369728.75,392208.12,382602.56,353553.8,383708.66,370058.84,
315,355.1579441394935,7.8408947,,,,24.0,,,,,,,2858076.0,2386278.5,4417338.0,3674641.2,5181977.5,4941851.5,
43,370.989807781689,2.802455,,,,,,,,,,,805295.6,872295.3,800963.2,803970.94,919898.0,879787.56,
42,373.0055060494669,2.7068950000000003,,,,,,,,,,,2072115.2,2176881.5,2101727.0,2000419.6,2257010.2,2145384.8,
341,379.1792409007608,7.943788499999999,,,,25.0,,,,,,,316152.62,319612.12,486944.25,443947.94,614135.0,601503.44,
342,381.1736651625899,7.943788499999999,,,,25.0,,,,,,,6593789.0,6520639.5,10271803.0,8592809.0,12026891.0,12000265.0,
380,381.1948685106669,8.282305000000001,,,,,,,,,,,125091.016,129937.32,214465.03,198975.56,290946.12,260587.16,
339,383.1776440911392,7.9428825,,,,25.0,,,,,,,254442.86,248230.9,386174.28,327749.84,487479.2,437118.47,
385,383.18930425210436,8.282305000000001,,,,22.0,,,,,,,2595960.8,2621112.5,4483284.5,4178555.2,6036727.5,5282393.5,
521,384.9350569580386,10.274314,,,,8.0,,,,,,,201405.95,152592.6,145967.12,186446.88,214829.25,162874.19,
9,384.93512555778193,0.33484575,,,,7.0,,,,,,,637488.6,713087.06,681728.3,701867.5,692712.7,657011.7,
23,389.1257057011999,0.37781015,,,,32.0,,,,,,,546580.4,563811.9,602466.6,575237.25,599286.75,576345.4,
108,396.21543109718874,5.1021220000000005,,,,51.0,,,,,,,1713910.9,2568861.2,2434618.5,2769893.5,2768363.8,3084597.8,
102,396.2154380316729,4.9893339999999995,,,,43.0,,,,,,,536284.44,671356.2,839238.1,775604.8,909457.56,947213.0,
45,397.0055103297239,3.1413882,,,,,,,,,,,283622.03,313821.38,298572.03,286838.56,328452.97,314974.78,
109,397.2188652853701,5.0992637,,,,51.0,,,,,,,307468.3,452828.38,444084.94,516834.34,515677.44,550620.56,
103,397.2189306924527,4.990722,,,,43.0,,,,,,,94906.47,124850.78,150480.06,131348.61,152305.28,164293.16,
25,398.1511063293744,0.37961254,,,,32.0,,,,,,,482397.6,514018.66,493954.38,460573.9,486494.88,480832.53,
347,398.32723886938857,7.95034,,,,,,,,,,,95038.64,137280.28,384663.0,217677.55,278292.38,414252.84,
26,399.154458739717,0.38052058,,,,32.0,,,,,,,4643071.0,4948864.0,4808375.0,4525162.0,4903829.0,4729075.0,
307,400.3066095178292,7.794414999999999,,,,,,,,,,,255183.19,195429.66,569193.2,322638.5,434920.88,451444.66,
290,400.30662087277267,7.7181880000000005,,,,,,,,,,,66022.375,46504.94,137534.92,71533.32,111307.56,97059.32,
83,404.0443695127028,4.5581074,,,,49.0,,,,,,,442972.72,468465.25,400811.5,416306.72,483724.84,473565.7,
57,405.01066406704626,3.6181517,,,,36.0,,,,,,,17732686.0,19883718.0,18014474.0,17837680.0,18889106.0,18799506.0,
60,406.01376035985913,3.6186953,,,,,,,,,,,3233143.8,3596725.8,3271738.2,3651887.2,3620992.2,3862296.5,
61,407.0044386796792,3.6194879999999996,,,,36.0,,,,,,,1193888.5,1350858.0,1223308.1,1229078.0,1335789.1,1299259.1,
107,410.2310779214697,5.0595675,,,,,,,,,,,51974.75,73695.48,85510.47,89113.56,103379.5,90707.44,
113,410.231098175392,5.1663938,,,,,,,,,,,235453.77,271788.9,302955.75,346897.9,360399.53,383447.6,
31,416.14467260583535,0.38699555,,,,32.0,,,,,,,857928.5,768818.94,865775.8,943294.25,1006542.1,966660.4,
48,421.00552389513473,3.3107777,,,,,,,,,,,91984.9,94960.09,82988.12,75894.35,92237.8,83182.44,
63,421.00556000859154,3.8604147000000006,,,,,,,,,,,480279.0,663759.6,565470.44,452269.94,512986.97,517193.25,
49,421.0055734922596,3.412549,,,,,,,,,,,2830852.0,2980195.5,2904630.5,2806243.8,3235767.2,3022413.5,
69,421.1866565649104,4.151016,,,,,,,,,,,804098.2,1044336.8,1783211.6,977752.5,1159734.9,1109498.2,
237,421.22642595149614,7.216166,,,,41.0,,,,,,,1348720.8,1637667.2,1435687.2,1459535.8,1746980.5,1377063.9,
67,422.1900159318505,4.151029,,,,,,,,,,,187757.05,261410.61,413014.66,243852.88,272363.72,271656.7,
82,422.97679117299975,4.557858,,,,49.0,,,,,,,751914.5,800424.0,727943.7,766555.3,861216.7,802458.2,
110,424.24678292188383,5.1482186,,,,,,,,,,,75855.96,130868.71,166555.53,57278.75,162407.5,170665.88,
114,424.246809349168,5.208642,,,,,,,,,,,83637.05,137498.94,145904.56,161953.9,174595.0,205681.22,
